ID;Time;x;y;z;lhx;lhy;lhz;rhx;rhy;rhz
394;736;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;737;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;738;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;739;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;740;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;741;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;742;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;743;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;744;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;745;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;746;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;747;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;748;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;749;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;750;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;751;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;752;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;753;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;754;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;755;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;756;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;757;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;758;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;759;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
394;760;0,6282278;0,1430472;0;0,1415725;0,2757714;0;-0,401122;0,2757714;0
