@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute P1SummaryMatrix-1 numeric
@attribute P1SummaryMatrix-2 numeric
@attribute P1SummaryMatrix-3 numeric
@attribute P1SummaryMatrix-4 numeric
@attribute P1SummaryMatrix-5 numeric
@attribute P1SummaryMatrix-6 numeric
@attribute P1SummaryMatrix-7 numeric
@attribute P1SummaryMatrix-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
183,'2020/02/28 11:58:32:854',2,0.018763,0.103953,0.061358,0.00887,0.036747,0.022808,0.908039,0.348349,0,1,1,0,0
184,'2020/02/28 11:58:32:870',2,0.018998,0.110441,0.06472,0.008641,0.027614,0.018128,0.908648,0.349625,0,1,1,0,0
185,'2020/02/28 11:58:32:887',2,0.017385,0.113973,0.065679,0.009319,0.024585,0.016952,0.908648,0.35377,0,1,1,0,0
186,'2020/02/28 11:58:32:903',2,0.016407,0.104038,0.060223,0.007372,0.028595,0.017983,0.908648,0.356958,0,1,1,0,0
187,'2020/02/28 11:58:32:920',2,0.017705,0.100718,0.059211,0.00439,0.028708,0.016549,0.908648,0.358553,0,1,1,0,0
188,'2020/02/28 11:58:32:936',2,0.017844,0.108006,0.062925,0.003222,0.027916,0.015569,0.908648,0.361741,0,1,1,0,0
189,'2020/02/28 11:58:32:954',2,0.017568,0.110776,0.064172,0.004652,0.028588,0.01662,0.909257,0.361422,0,1,1,0,0
190,'2020/02/28 11:58:32:970',2,0.015874,0.115181,0.065527,0.006557,0.024643,0.0156,0.909257,0.367799,0,1,1,0,0
191,'2020/02/28 11:58:32:987',2,0.01362,0.108078,0.060849,0.009275,0.026203,0.017739,0.909866,0.370669,0,1,1,0,0
192,'2020/02/28 11:58:33:003',2,0.013233,0.1005,0.056866,0.010173,0.029049,0.019611,0.909866,0.371945,0,1,1,0,0
193,'2020/02/28 11:58:33:019',2,0.013999,0.105105,0.059552,0.011389,0.028094,0.019742,0.909866,0.375133,0,1,1,0,0
194,'2020/02/28 11:58:33:035',2,0.014576,0.115867,0.065222,0.011109,0.030251,0.02068,0.909866,0.375133,0,1,1,0,0
195,'2020/02/28 11:58:33:052',2,0.014719,0.126792,0.070755,0.010904,0.019569,0.015237,0.909866,0.376727,0,1,1,0,0
196,'2020/02/28 11:58:33:069',2,0.014441,0.128649,0.071545,0.010934,0.021135,0.016034,0.910475,0.380873,0,1,1,0,0
197,'2020/02/28 11:58:33:086',2,0.013243,0.122173,0.067708,0.013231,0.023681,0.018456,0.910475,0.383742,0,1,1,0,0
198,'2020/02/28 11:58:33:102',2,0.012397,0.108345,0.060371,0.013616,0.031418,0.022517,0.910475,0.384699,0,1,1,0,0
199,'2020/02/28 11:58:33:118',2,0.012278,0.103302,0.05779,0.012852,0.030782,0.021817,0.910475,0.387568,0,1,1,0,0
200,'2020/02/28 11:58:33:135',2,0.013037,0.102712,0.057875,0.010415,0.020745,0.01558,0.910475,0.387568,0,1,1,0,0
201,'2020/02/28 11:58:33:152',2,0.013236,0.102288,0.057762,0.00954,0.028194,0.018867,0.911084,0.388206,0,1,1,0,0
202,'2020/02/28 11:58:33:168',2,0.013167,0.096494,0.054831,0.008487,0.038997,0.023742,0.911693,0.391076,0,1,1,0,0
203,'2020/02/28 11:58:33:185',2,0.013239,0.086836,0.050038,0.009125,0.033372,0.021248,0.911693,0.392989,0,1,1,0,0
204,'2020/02/28 11:58:33:201',2,0.014942,0.077437,0.04619,0.008497,0.027314,0.017905,0.912302,0.393627,0,1,1,0,0
205,'2020/02/28 11:58:33:219',2,0.015702,0.08439,0.050046,0.009346,0.00889,0.009118,0.912302,0.394902,0,1,1,0,0
206,'2020/02/28 11:58:33:235',2,0.016969,0.084585,0.050777,0.00787,0.010893,0.009382,0.912302,0.394902,0,1,1,0,0
207,'2020/02/28 11:58:33:252',2,0.018287,0.084662,0.051474,0.006272,0.020191,0.013232,0.912911,0.395221,0,1,1,0,0
208,'2020/02/28 11:58:33:268',2,0.01752,0.082968,0.050244,0.004992,0.028036,0.016514,0.91352,0.396496,0,1,1,0,0
209,'2020/02/28 11:58:33:285',2,0.017146,0.071499,0.044323,0.004251,0.034441,0.019346,0.91352,0.397772,0,1,1,0,0
210,'2020/02/28 11:58:33:301',2,0.018645,0.065267,0.041956,0.003176,0.030229,0.016702,0.914129,0.397453,0,1,1,0,0
211,'2020/02/28 11:58:33:318',2,0.019164,0.070062,0.044613,0.003033,0.026449,0.014741,0.914129,0.398091,0,1,1,0,0
212,'2020/02/28 11:58:33:334',2,0.019527,0.071108,0.045317,0.003332,0.027369,0.015351,0.914129,0.398091,0,1,1,0,0
213,'2020/02/28 11:58:33:351',2,0.01912,0.071474,0.045297,0.005739,0.030233,0.017986,0.914129,0.398091,0,1,1,0,0
214,'2020/02/28 11:58:33:367',2,0.01631,0.070332,0.043321,0.007816,0.032431,0.020123,0.914129,0.397772,0,1,1,0,0
215,'2020/02/28 11:58:33:384',2,0.014298,0.060994,0.037646,0.007062,0.040787,0.023924,0.914738,0.397453,0,1,1,0,0
216,'2020/02/28 11:58:33:400',2,0.014004,0.056239,0.035122,0.006407,0.041105,0.023756,0.914738,0.396496,0,1,1,0,0
217,'2020/02/28 11:58:33:418',2,0.013388,0.059326,0.036357,0.006753,0.037723,0.022238,0.914738,0.396178,0,1,1,0,0
218,'2020/02/28 11:58:33:434',2,0.012705,0.059888,0.036297,0.007856,0.039694,0.023775,0.914738,0.396178,0,1,1,0,0
219,'2020/02/28 11:58:33:450',2,0.012109,0.06226,0.037184,0.007926,0.037373,0.022649,0.915347,0.395221,0,1,1,0,0
220,'2020/02/28 11:58:33:467',2,0.009458,0.064122,0.03679,0.00845,0.035166,0.021808,0.915347,0.393308,0,1,1,0,0
221,'2020/02/28 11:58:33:484',2,0.008402,0.058536,0.033469,0.007965,0.039693,0.023829,0.915347,0.392351,0,1,1,0,0
222,'2020/02/28 11:58:33:500',2,0.009688,0.057101,0.033394,0.008329,0.03985,0.024089,0.915956,0.391076,0,1,1,0,0
223,'2020/02/28 11:58:33:517',2,0.009919,0.063359,0.036639,0.008844,0.037315,0.023079,0.915956,0.389482,0,1,1,0,0
224,'2020/02/28 11:58:33:533',2,0.010128,0.068177,0.039152,0.008637,0.038592,0.023614,0.915956,0.389482,0,1,1,0,0
225,'2020/02/28 11:58:33:550',2,0.010771,0.072424,0.041598,0.007539,0.029571,0.018555,0.916565,0.388206,0,1,1,0,0
226,'2020/02/28 11:58:33:568',2,0.010088,0.076153,0.043121,0.008818,0.021903,0.01536,0.917174,0.385018,0,1,1,0,0
227,'2020/02/28 11:58:33:584',2,0.010174,0.070956,0.040565,0.010135,0.024235,0.017185,0.917174,0.382786,0,1,1,0,0
228,'2020/02/28 11:58:33:599',2,0.011699,0.0692,0.04045,0.009423,0.025734,0.017578,0.917783,0.380873,0,1,1,0,0
229,'2020/02/28 11:58:33:616',2,0.012774,0.0745,0.043637,0.010473,0.028525,0.019499,0.917783,0.378322,0,1,1,0,0
230,'2020/02/28 11:58:33:633',2,0.014658,0.076537,0.045598,0.008563,0.031847,0.020205,0.917783,0.378322,0,1,1,0,0
231,'2020/02/28 11:58:33:651',2,0.016223,0.081365,0.048794,0.007177,0.025727,0.016452,0.918392,0.376409,0,1,1,0,0
232,'2020/02/28 11:58:33:666',2,0.015248,0.084125,0.049687,0.009513,0.021512,0.015512,0.918392,0.371945,0,1,1,0,0
233,'2020/02/28 11:58:33:683',2,0.015929,0.076338,0.046133,0.013444,0.025309,0.019376,0.918392,0.368756,0,1,1,0,0
234,'2020/02/28 11:58:33:699',2,0.018987,0.074024,0.046505,0.015578,0.030741,0.02316,0.918392,0.366843,0,1,1,0,0
235,'2020/02/28 11:58:33:716',2,0.021472,0.081908,0.05169,0.018071,0.036996,0.027533,0.918392,0.363654,0,1,1,0,0
236,'2020/02/28 11:58:33:732',2,0.025295,0.087535,0.056415,0.014177,0.041134,0.027656,0.918392,0.363654,0,1,1,0,0
237,'2020/02/28 11:58:33:749',2,0.028366,0.096675,0.062521,0.011436,0.030472,0.020954,0.917783,0.361741,0,1,1,0,0
238,'2020/02/28 11:58:33:766',2,0.027163,0.102482,0.064822,0.013778,0.021713,0.017746,0.917783,0.356002,0,1,1,0,0
239,'2020/02/28 11:58:33:783',2,0.027703,0.09482,0.061261,0.018306,0.025814,0.02206,0.917174,0.352494,0,1,1,0,0
240,'2020/02/28 11:58:33:799',2,0.028711,0.092277,0.060494,0.028894,0.031592,0.030243,0.917174,0.346436,0,1,1,0,0
241,'2020/02/28 11:58:33:816',2,0.03554,0.09432,0.06493,0.028887,0.050668,0.039778,0.916565,0.346755,0,1,1,0,0
242,'2020/02/28 11:58:33:832',2,0.041582,0.10622,0.073901,0.024579,0.048331,0.036455,0.915956,0.345798,0,1,1,0,0
243,'2020/02/28 11:58:33:849',2,0.044019,0.11636,0.08019,0.027745,0.038554,0.03315,0.915347,0.340378,0,1,1,0,0
244,'2020/02/28 11:58:33:865',2,0.045956,0.118557,0.082257,0.030101,0.03864,0.03437,0.914738,0.336871,0,1,1,0,0
245,'2020/02/28 11:58:33:882',2,0.052579,0.116476,0.084527,0.029781,0.036807,0.033294,0.914129,0.335914,0,1,1,0,0
246,'2020/02/28 11:58:33:899',2,0.059564,0.122526,0.091045,0.032229,0.032442,0.032336,0.914129,0.332407,0,1,1,0,0
247,'2020/02/28 11:58:33:916',2,0.067863,0.131623,0.099743,0.022023,0.030795,0.026409,0.914129,0.332407,0,1,1,0,0
248,'2020/02/28 11:58:33:931',2,0.071369,0.139789,0.105579,0.010055,0.022712,0.016383,0.912911,0.33145,0,1,1,0,0
